Hugo_Symbol,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
HSDL1,0.0,2642.0,2455.0,2353.0,2414.0,910.0,1028.0,1825.0,876.0,2167.0,3203.0,735.0,1609.0,2121.0,1344.0,590.0,920.0,1547.0,1066.0,1038.0,1048.0,1515.0,1915.0,908.0,1353.0,1803.0
AQP9,0.0,5807.45,1460.0,11510.74,307.76,1234.23,276.97,9192.64,3048.45,5512.83,374.0,328.0,353.91,3391.9,2557.88,935.99,2918.0,1436.89,1627.0,1572.55,6490.87,3992.91,5205.62,765.0,6929.53,413.0
LAMTOR4,0.0,6923.33,4532.35,4579.08,1568.0,4394.37,2377.91,2110.44,623.49,4247.05,6496.83,3628.35,2971.02,2275.5,5101.29,1940.72,5309.0,3534.8,2578.01,2258.06,2551.17,4797.61,3247.3,2679.49,5857.96,3547.33
DOLPP1,0.0,1395.0,910.0,2002.0,563.0,532.0,648.0,950.0,250.0,1369.0,2911.0,705.0,1161.0,690.0,1634.0,500.0,653.0,739.0,471.0,666.0,1039.0,883.0,779.0,628.0,935.0,884.0
NDUFC2-KCTD14,0.0,3.91,22.97,0.0,163.28,0.0,0.0,0.0,4.75,21.48,6.71,23.4,3.05,0.03,0.0,0.0,4.91,0.0,0.0,7.28,0.0,0.0,3.65,10.66,20.18,19.02
TCTN3,0.0,5703.0,5895.0,5144.0,2517.0,2904.0,1758.0,4292.0,1198.0,3669.0,9270.0,1757.0,4382.0,1852.0,3649.0,1184.0,2393.0,3623.0,2241.0,2560.0,2443.0,3045.0,3786.0,2021.0,3002.0,3895.0
SOX7,1.0,433.0,413.0,4348.0,15.0,171.46,134.61,214.0,35.0,93.0,460.34,70.0,55.0,17.0,526.99,643.0,1100.0,2045.0,3919.0,1350.0,3043.0,1742.83,6871.0,787.0,1698.37,3850.59
DEDD,2.0,3108.94,2378.78,3350.75,932.74,1886.6,1107.18,3755.66,964.04,2786.36,3957.77,1234.92,2802.71,1189.9,3782.64,869.22,1634.86,2224.67,1953.37,1614.36,2167.65,2311.54,2618.78,1314.54,2628.08,2433.01
SWSAP1,0.0,337.2,164.63,317.27,63.02,250.19,150.2,179.46,52.26,118.23,291.86,97.89,194.9,79.48,539.52,91.72,133.19,136.07,82.08,150.5,158.18,204.67,167.37,175.78,237.34,245.82
SERPINA12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPAT2,0.0,3013.96,1037.7,627.36,37.65,55.71,1001.84,108.5,29.2,2030.65,186.3,31.46,49.96,1287.53,97.43,52.44,189.1,124.64,403.99,161.55,304.2,317.3,646.32,649.16,342.23,696.28
