Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
OR11G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DEFB123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBNO2,0,17399,4915,16662,2887,3285,2717,19786,8347,10144,3870,2011,6507,9049,9150,1127,2599,6879,5576,3563,16320,2795,11618,3317,6070,4630
HSD3B1,0,0,0,2,0,0,0,0,0,0,4,1,0,1,1,0,0,1,0,1,0,0,0,2,0,0
EIF4E,5,5587.99,2950.23,4971.47,3629.25,3891.11,2055.9,4812.32,1934.77,4747.17,6812.66,2447.8,2578.11,3808.45,7076.35,1374.15,2452.4,2272.2,1408.27,1660.2,2911.95,2699.65,2744.75,1516.51,3769.35,2775.76
KRTAP27-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1E,0,22,2,6,7152,0,4,68,6041,5,7,16,21,16007,16,5,4,1,1,3,0,8,2,5,5,2
STK39,0,4305,2649,3698,1365,2704,1539,6333,1603,6175,1937,2921,2178,2836,4298,312,870,1447,884,956,1633,1308,1431,1189,2069,1267
IFI27,0,14647,30013,17419,14816,28811,9576,40307,11881,1735,28613,12240,25854,995,70796,14909,17504,8553,12311,6400,6239,15137,15898,5627,15070,16773
NRN1L,0,44.33,9.37,57.59,0,9.09,22.4,8.21,0,11.06,78.95,5.86,17.77,0.86,15.38,99.58,17.55,70.08,45.91,12.34,44.93,134.26,40.88,15.96,98.47,35.79
CABS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR62,0,9,3,1,2,4,1,6,1,3,15,1,0,1,2,2,5,3,1,2,1,16,2,3,3,14
GTF3C2,0,6281.19,2939.83,5719.2,1202.87,2658.18,1586.12,5384.65,1534.9,3866.16,5798.31,2605.64,1772.31,1920.12,5408.8,1142.64,1491.24,3431.92,2260.02,2508.94,3585.4,2900.71,4041.66,2489.23,3184.21,3622.05
CDC27,1,7559.99,4697.92,6397,5679.05,3023,1781,7228,3318.89,5698.81,5139,2424,3420.9,5404.69,6613.85,1540,2286.95,2894,2103,2488,3178,2632,4028,1794,3067,3900
GLP2R,0,3,66,6,12,1,5,10,0,1,26,4,17,0,1,6,23,12,144,25,30,105,117,10,125,72
AP000349.1,0,165.51,0,2.39,0,105.48,65.62,227.68,133.22,38.79,156.84,110.63,2871.19,50.38,35.62,0.19,13.42,1.11,0,0,0,0.55,0,4.14,0.19,0
AC016757.3,0,35,20,53,3,50,41,11,9,32,8,55,6,18,53,6,40,9,12,13,36,40,24,17,72,40
SLC16A12,0,114,222,433,20,81,66,15,10,55,1187,324,16,39,25,22,116,139,152,361,140,237,331,103,210,354
SART1,0,7274,3811,5899,811,1616,2186,7708,2636,4868,3892,696,2083,3128,4506,908,2077,4795,3543,3201,4468,4111,5591,2909,3710,5643
SAT1,1,44886,16658,76992,18697,27965,11301,35150,12202,32965,59495,21785,18804,23168,21738,21880,21540,24807,31383,14007,36587,28719,29519,14716,56406,17690
DCUN1D3,0,3048.9,2334.15,4075.48,3748.27,1059,517,2886.04,1772.71,2921.98,2587.91,736,3469.9,2726.1,1090.77,541,1412.1,2785,3686.91,1016.68,2166.49,1461,2617.23,750.79,2247,2001
BANF2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BET1,1,2880,1469,1957,2623,1585,1071,1280,468,2894,1742,3397,2118,1996,4984,659,1143,766,462,694,649,1116,962,807,1265,1229
TMEM247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KRTAP9-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM6SF2,0,116.96,93,47,22,34,26,58,16,47,12,8.82,100.51,17,13,6,19,28,23,46,23,38,31,14,6,10
METTL3,0,3865.68,1116.84,2721.58,2451.35,1666.39,1148.28,2026.72,908.91,1441.66,2437.25,685.06,1900.6,1121.18,4025.08,430.97,889.17,1411.7,1170.86,1190.18,1402.01,1198.19,1673.92,920.75,1334.04,1724.23
ZC2HC1C,0,90.29,234,266.93,38,281.73,132.33,122.78,26,65,560.94,28.33,57.37,29.75,80.28,98.3,119.61,199.8,267,142,176,340.86,363.88,167,511,323
PAQR5,1,586.03,122.37,1805.26,245.01,1159.18,210.15,754.74,325,449.81,1067,820.28,201,367.15,746.23,466,979,2402.61,1666,1363,2437,2011.5,2463.76,1271,3317.89,2341.74
FOLH1,0,587,501.9,137.26,328.72,57.66,172.7,380.22,139.53,98.82,101.53,60.96,431.27,61.2,123.19,43,155.04,184,201.78,199.25,73.21,118.65,216.66,96.15,99.17,372
CLLU1OS,0,7,10,1,8,2,0,19,4,78,17,1,23,35,2,3,3,7,1,1,5,1,0,0,0,0
BCKDHB,1,1751,635,1779,984,933,829,358,158,852,2650,425,753,747,1769,502,603,1033,571,563,798,1168,999,499,1121,1027
SMCR8,0,719,543,1329,680,343,327,1191,998,769,560,93,311,1119,705,202,163,706,376,598,964,469,1303,494,375,813
RBP2,0,1,5,182,1,195,22,0,0,0,132,0,0,0,5,41,202,91,49,112,21,230,220,78,47,298
POLR3GL,6,2109,2274,2706,342,1858,975,1924,518,1827,4900,687,964,783,2180,771,1638,1812,1351,1196,1289,2320,2172,1261,1962,2188
AC009403.2,0,131,70,286,60,268,118,79,31,122,348,45,71,60,208,82,93,163,87,81,98,156,111,96,128,99
USP17L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-770J1.4,0,1,2,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0,1,2,0,1,0,0,0,3
KRT14,0,31.18,180.35,270.15,34.44,14.04,30,59.53,14.42,0,6.03,3.03,87.29,0,5.18,9,7.12,5.11,2.03,9,22.24,66.74,65.18,9.03,15.93,1
ZNF705A,0,4.28,0,4.2,1,1.17,1,3,2.41,0,3.74,0,0,0.13,1,3,5,1,1,1,0,7,1.65,2,1,10.4
PUS3,0,665,683,958,644,599,342,784,325,592,1140,281,611,461,612,318,411,387,287,367,491,515,522,338,583,515
ZNF341,0,865.55,365.37,722,164.22,391.01,363.46,422.91,124,754.02,555.13,326.66,459.45,385,925.54,95.18,133.25,425.1,271.31,316.92,243.12,315.97,445.71,329,317.51,509.01
CMTM6,31,20594.2,10494.47,18493.16,10914.54,9916.42,4582.2,12965.7,5545.78,15533,16465.27,5268,7889,12815.84,15904.23,5802.64,9141.32,9146.87,6028.94,5707,10287,10807,11947,5619.6,13937.25,7814
MNX1,0,224,59,28,72,69,62,46,27,45,16,103,138,30,101,4,0,7,2,9,2,4,14,15,7,14
PCGF1,0,1292,656,1153,429,895,516,1139,382,627,1693,814,585,397,1850,249,495,698,385,513,670,861,725,405,1029,761
ZWILCH,0,2546.04,801.82,968.12,943.35,848.96,356.66,1002.48,408.93,1117.25,937.63,779.74,863.74,847.85,2102.71,266.89,355,504.64,301,369.86,435.89,317.96,556.9,355.95,367.74,479.89
PALM,0,1036,2150,2034,194,865,519,561,184,270,1113,360,915,132,2193,306,2047,2334,3230,2130,1583,1985,2993,1024,1025,5647
STATH,0,0,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
OR10S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0895,0,1189,315,1107,589,752,276,474,283,783,951,928,341,792,668,162,223,447,319,276,504,529,524,193,783,477
SLCO3A1,1,3763,2047,6974,605,2154.96,1409,5763,1837.84,1060.94,2916.16,853.18,1511.17,547.8,1947.91,871.78,2182.88,3170,3429,2869,4416,2772.74,4645.92,2613,3017.34,4342
HEXIM1,4,5580.48,2356.27,5256,856.47,1702.6,2334,4414,1879,1532.49,2665.3,427,1726.63,1198,4392,775,1262,2360,2098,2925,2644.74,2910,3020.17,2063,3041.68,4613.67
RP11-160N1.10,0,0,0,0,0,1.23,0,0,0,0,0,3.22,0,0,0,0,1.1,0,0,1,0,0,0,0,0,0
ERCC4,0,1062.41,910.21,1150.87,2031.42,633.17,399.58,861.54,482.92,1602.88,903.72,315,1264.53,1665.67,1285.65,301,384.56,617.3,303.98,409.49,655.16,631.29,918.23,416,545.24,915.87
OR8B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNPEPL1,0,8958,6414,12790,570,4339,4623,7451,1229,6728,9087,3032,2831,2220,3623,3058,6189,11115,9035,7397,9478,11046,10863,7416,11696,10685
MLNR,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,5,0,0,2
ABLIM1,0,4731,5910,13150,1338,4275,3416,7594,2855,3933,35382,875,1969,2568,750,2596,4224,17267,14553,16787,9185,7897,20337,8548,7327,22935
NFATC3,0,3205.52,3009.58,7207.46,1829.97,2097.51,1974.15,2772.11,1013.93,2279.05,3846.03,602.38,3050.6,1169.42,1511.74,1670.47,1728.66,5295.54,3838.47,3734.99,4210.83,3154.04,5903.94,2844.83,2907.29,5864.1
RP11-729L2.2,0,0,0,2.48,0,0,0,2.39,0,0,0,2.42,1.61,0,0,0,0,0,13.04,0,0,0,0,0,0,0
C5orf47,0,1,2,3,1,0,2,3,0,0,3,0,1,0,0,0,1,5,2,2,1,3,0,1,1,3
PRKAR1B,0,3870.45,1361.02,2072.06,283,770,569.01,1675,576.01,1096,2688,990,504,643.02,1757,490.01,823,1939,1534,1972,1745,1646,2560,1283,1455,3162.78
IRF2BP1,0,3014,1488,2055,359,724,923,701,317,759,1068,393,917,693,1429,401,978,1953,1009,1416,1430,1916,1919,1192,1256,2580
FLJ00418,0,196.9,21.99,103.72,36.46,33.96,43.05,53.31,82.97,74.56,17.59,2.94,118.66,218.2,15.2,2.52,2.81,22.33,30.4,26.76,29.23,39.24,35.81,14.09,31.06,27.26
C21orf37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0
FAXC,0,1320,381,627,288,789,152,333,119,1837,710,391,335,1104,529,54,134,229,162,250,634,234,298,124,260,226
SYDE2,0,250,104,464,246,192,96,168,170,242,306,206,63,643,228,75,194,330,422,585,189,283,575,288,186,1191
MATN1,0,6.47,6.45,13.52,7.19,1.18,3.09,12.84,1,2.17,3.16,0,12.32,2.29,10.16,1.21,2.05,5.14,2.41,1.45,2.04,4.1,5.31,2.74,8.42,1.08
ZNF169,0,247,63,186,215,144,92,92,51,122,168,42,200,91,97,38,50,88,49,94,96,70,90,89,90,121
TMEM174,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,1
SEC31B,0,554.39,53.08,787.26,219.73,444.32,305.13,195.46,55.11,280.5,205.65,45,534.57,164.12,282.32,50,40.02,101,121.24,166,146.79,105.05,143.27,145.57,144.26,134
OPRK1,0,13,331,10,9,12,52,2,0,0,146,0,5,0,0,1,1,82,16,10,1,2,4,67,0,25
CIZ1,0,7322,2869,7802,533,2302,2336,4604,868,5226,4696,1870,4648,1453,4936,1312,1813,5472,4753,4366,4286,4247,5740,3261,4386,6856
CCDC113,0,782,709,772,1005.14,350,320,1778,730,783,1391.31,248,1248.48,539,366,182,138,487,92,321,183,908,2347,408,1912.08,1604
C2orf71,0,1,0,7,10,4,1,3,1,1,99,2,15,1,2,0,63,124,50,89,208,267,219,114,230,143
LIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,7,0,4,3,0,0,2
NLRP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
UBR7,0,3750,4421.44,3581.1,2057.71,2180.55,1478,3793.13,1349,2169.28,3146.04,950,2653,1370,4344.63,991,1686.27,2145.67,1577,1818,2060.66,2458.99,2680.51,1671,2019,2874
KCNRG,0,48.36,79.74,56.85,292.98,128.93,54.44,47.63,21.55,3.34,59.79,36.72,25.67,44.4,30.42,50.61,46.67,70.71,17.01,37.31,17.13,230.73,320.78,105.33,522.62,311.09
TOM1L1,0,4352.74,1822.74,3205.52,1753.58,3404.28,1471.8,2326.47,821.5,1732.01,4884.38,3092.9,1903.66,1264.53,2239.87,719.82,807.72,1295.62,985.27,1168.31,1074.43,1519.3,1573.21,971.61,1318.63,1675.79
CCRL2,0,1370,338,2075,178,1743,366,631,243,906,463,256,228,613,474,752,1120,1008,910,1028,1331,1827,1023,945,2507,1249
AFM,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,8,0,0,1,0
ZNF580,1,1935.16,882.55,1382.27,51.12,695.94,644.41,503.07,88.56,389,352,228,516.21,78.23,503.56,275,823.75,1212.92,644,610,776.48,738.92,1036.6,677.58,783,1090
ILF3,0,23931,8486,21602,6629,6638,6464,20724,6829,13307,11463,3429,11597,7644,28293,2829,4277,11791,8966,9310,10751,7516,13800,8127,8489,14377
NCOA7,10,10364,5765,18023,19428,6944,2091,4816,2173,13292,13237,5698,12127,11999,13871,2685,6624,9288,22293,4340,8876,9178,13142,5293,15783,8193
SYT9,0,5,12,4,46,5,5,3,1,2,5,4,12,3,1,3,3,4,20,5,0,6,15,5,2,52
GGA2,8,9033,6100,16051,2163,6801,5789,7622,2666,9137,7764,1924,4460,5648,4908,3874,5466,13290,8452,10431,13090,12287,14562,9996,15047,13562
OR4C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2RL3,0,1250,669,906,65,40,91,721,232,171,159,85,175,99,129,357,563,1046,1982,119,1293,1101,5022,53,1068,317
MRO,0,23,79,139,12,50,11,20,6,94,9,30,8,73,99,44,28,5,6,8,8,3,4,2,21,5
CDC16,0,5812,3137,4732,3086,3026,1690,4531,1627,3689,6787,978,3275,2342,1871,1149,1837,2749,1851,2241,2163,2587,3008,1625,2857,3234
AC073333.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL4A1,0,54863,89347,104803,23394,5832,7001,69245,34263,33281,19074,6801,22186,32841,17067,4158,40916,90320.82,27279,44236,32375,7860,59273,10212,6486,56788
STARD7,1,12961.06,8640.07,18241,4372,9428.72,8429.4,19276.65,7036.78,7623,15104.88,5399.03,5193.65,5068.46,13554.78,5932.37,7547.08,15214.8,10049,12640.57,10359.87,13076.23,14671.27,10179.81,13203.43,17917.86
FAM188B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OR10A4,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
B3GALTL,0,707,1212,913,1026,669,448,730,299,519,847,336,779,526,340,204,654,504,527,525,557,639,842,379,640,897
ZNF584,0,1483,518,879,301,393,275,349,149,249,386,255,344,204,309,183,330,485,213,321,736,625,718,310,636,542
NDUFA3,1,3710.56,2480.08,3338.78,372.42,2520.92,1570.25,1402.1,452.18,1688.43,2420.31,1877.16,1117.2,974.05,1928.23,1242.02,2128,2081.02,1390.07,1102.05,1765.15,2666.08,1740.06,1716.06,3000.11,1901.48
INTS6,0,2482.91,1187.86,2230.76,2594.18,1073.94,842.95,3030.88,1871.83,981.91,2488.97,378.68,1193.86,1201.92,1543.88,451.97,652,1162.98,985.83,801.97,1403.97,793.96,1501.93,752.95,1527.88,1339.93
TAS2R19,0,8,2,1,43,2,1,2,14,1,1,0,4,40,1,1,1,3,3,0,3,0,6,2,2,1
APBB3,0,1190.2,212,1312.24,734.6,564,529.02,370.09,142.02,1032.04,752.66,127.02,1551.07,593.4,447.02,126,234.38,488.35,308,259.04,253,413.46,474.41,276,560.17,475.58
UBALD2,0,6277,2370,3334,364,2119,1282,9650,1894,3546,3025,1996,1949,1170,4961,1019,1718,2680,1823,1576,2357,2906,3035,1874,2382,2633
HDAC3,0,5879.62,3466.11,4623.59,2306,3305,2500.54,4321.22,1460.42,5014.75,5547.2,1873.63,3515.72,3172.57,3012.82,1208,1912,2756.58,1819,2120.88,2782.37,2769,2722,2291,3079.58,2840
RP11-195B21.3,0,0,2,1,1.98,0,0,1,0,8.74,0,0,1,13.56,0,0,0,0,5.55,1,0,0,0,1.37,2.59,1.45
PSIP1,10,4960.98,2717.95,4362,1451,1752,1685,2628.9,949,2724.9,2519.98,901,2130.84,1641.85,6564.58,992.96,2390.97,2785,2643.78,2989.91,1771,3206,4658.83,2724.97,2574.97,5513.35
ATXN2L,5,12066.86,3335.57,12196.31,1550.53,4018,4673.6,12220.77,1326.38,9524.06,7156.33,2165.82,8397.5,1772.74,18330.05,1767.44,2063.39,6510.01,5377.08,4704.72,6458.49,4470.98,7506.9,4780.98,5450.6,7310.79
KPNB1,222,32746.58,9343.76,20504.24,7656.32,6276.25,6532.84,29411.89,11129.97,21020.63,16841.38,5519.6,8546.91,13508.26,19104.37,3616.39,4532.96,9566.05,6810.03,7910.77,10979.09,6705.19,12686.36,6699,7849.72,12018.63
PENK,0,13,456.99,46.85,22,27.99,100,8,1,2,53,56,34,1,34,28,116,116,230,427,81,151,220.45,108,83.94,304.89
RPL12,1,41806.27,59708.2,65125.77,41141.49,43569.53,19553.27,28362.38,11149.27,27314.19,97546.01,37280.18,42342.71,20665.97,65811.65,23654.64,34047.71,37337.59,21729.44,25424.59,23025.82,52429.9,29320.86,31083.83,50159.44,40710.67
PTPN11,34,10608.99,5993,14531,4678.98,2253,2402.96,12008.96,6213.98,9561.95,9196.98,1533,4332.94,8685.95,12604.97,2631.99,3445,7704,5870.98,6112,7819.98,5748,11294.96,3978,5271.99,10170.99
NAT1,0,1193,411,616,866,567,274,651,272,229,1496,304,594,185,426,257,267,255,128,211,313,540,485,273,835,464
GTSF1,0,110,25,35,6,55,106,82,17,25,24,21,23,19,32,11,43,18,20,14,96,66,62,222,46,4
BAIAP2,3,6275.13,2024,7729.03,410,1875,1967,5136,1420,2884,6876,2064,1699,1448,6445,1437,2062,5356.08,6161,3281,5007,5642,7228.35,2724,5896.05,7037.04
CLEC4A,0,1658,458,738,787,1605,257,1930,604,746,437,499,868,532,352,504,532,661,380,453,528,825,510,437,838,490
PLCG2,0,2751.5,1163,2795,754,1453.54,2463.64,1389,743,1321,1753,293.37,766,1245,1319,666,997,1989,1796,1753,2102,2557.53,3549.54,3567.49,2204,3461.35
MAP6,0,301,724,790,184,1118,233,305,102,89,627,108,413,53,103,165,398,843,692,725,374,912,1652,554,1290,1503
BRF2,0,1601.99,1533.78,1840.13,898.82,1492.46,772.61,1053.57,347.53,614.01,2531.53,842.63,1229.43,436.95,4293.54,722.63,1086.73,1201.28,667.51,1054.21,1072.68,1304.42,1399.84,782.16,1170.81,1693.62
FUT9,0,15,34,13,426,66,2,1,1,280,0,0,161,453,0,0,1,0,0,2,0,0,3,0,1,1
NEB,0,201,7,94,110,35,33,39,64,152,27,38,18,445,26,4,8,22,123,28,24,22,99,25,24,112
PPP2R1A,0,21067,15246,20683,3372,9713,7179,14347,3910,9046,15385,5496,7339,4532,14685,5060,9724,17179,12391,11465,14610,16072,17030,10947,14300,17437
C2orf61,0,8.49,2,2,1,1.41,0,0,2,4.11,2,9,2,3.09,0,2,0,3,2,1,1,0,8,0,2,1
FAM124A,0,201,191,380,45,75,73,353,75,260,95,26,141,113,56,86,134,263,203,308,292,272,635,198,268,460
CCDC110,0,69,73,61,109,35,56,36,15,51,133,48,94,50,51,12,31,17,19,22,7,50,33,19,34,41
SLC13A2,0,0,54,9,0,166,17,0,0,0,18,0,3,0,37,16,16,214,327,88,18,182,43,81,44,610
MYO1C,0,16120,20459,28589,4876,4724,4574,17746,6045,16217,26594,2996,8850,9922,9011,4380,13051,26804,26159,22514,23025,20009,33590,11934,15234,37177
CASP12,0,17,9,29,9,38,15,4,3,2,22,4,7,2,7,22,54,42,48,32,16,88,83,23,42,75
TMEM130,0,661,2402,857,308,1576,1429,88,28,180,709,48,1474,46,181,96,587,1357,1288,3851,748,1558,2869,553,705,2555
LRRC70,0,214.39,194.69,260.06,104,119.09,75,68,19.27,29,326.79,42.86,47,57.95,95.77,67.18,175.89,466.19,162.92,158.67,89.05,181.87,281.97,94,173.62,449.01
EVI5L,0,2218,1237,2726,499,779,494,2347,707,933,899,292,1356,485,5331,362,805,1762,1346,1018,1422,1095,1777,838,1165,1580
RP4-576H24.4,0,0,4.28,3.21,5.97,5.2,3.52,7.59,8.87,0,0,0,0,7.06,8.02,6.22,5.64,12.99,17.12,22.37,24.04,33.45,4.32,5.06,3.23,2.86
GOLGB1,0,9531,3256,11603,14183,3385,3436,15630,11565,10465,9248,1156,6767,14202,4345,1255,1559,7175,5518,5512,5970,3111,9779,3645,4340,8619
FOXO4,0,909,1381,2207,200,706,758,620,195,846,980,168,610,389,1305,533,742,1781,1765,1744,1243,2177,2476,982,1501,3051.18
DCP1B,3,649,749,907,225,491,447,972,246,520,971,295,892,231,592,215,468,640,468,701,483,880,911,605,582,1082
KRT78,0,17,4,6,1,5,8,53,12,21,13,6,6,9,9,0,1,1,0,0,3,6,9,3,12,0
TDRD12,0,14,28,7,6,18,7,4,3,367,11,4,5,173,6,0,2,24,3,18,2,7,78,1,2,38
CT47B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INSR,13,4716,3502,6826,5969,1246,944,3971,2697,4481,2172,589,4491,5554,4129,551,651,10909,2584,3660,3029,2502,5075,1610,2443,5345
SUCLG1,0,5075,3845,5265,1536,5616,2572,4368,1242,2796,7700,3831,2104,1712,5631,2161,3818,3368,2469,2510,3159,4789,3408,2429,4649,3875
BTBD16,0,4,28,18,61,7,4,27,3,25,64,136,71,14,7,4,3,4,3,2,1,4,0,6,9,16
CDK5R1,0,1029,400,170,178,77,200,820,296,493,284,218,307,289,336,25,51,92,111,86,86,54,191,435,89,145
SCGB1D2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2
CBWD3,0,459.79,110.31,403.3,332.28,206.84,93.47,351.36,143.71,511.84,784.64,147.57,397.51,262,330.77,110.22,250.69,186.9,160.57,184.37,197.49,147.9,316.28,160.13,204.02,171.21
SNX24,1,1579,704,2278,926,907,448,1430,523,1416,1109,364,1045,1033.04,1044,698,703,1237,922,1129,935,1491,1325,681,1517,1139
C11orf83,1,2273.82,934.83,1164.94,260.37,965.33,602.06,1083.48,352.59,1488.13,1286.49,657.28,623.98,1005.92,1292.54,219.82,914.89,628.21,473.76,457.63,461.71,981.22,556.22,476.44,883.97,927.87
POLD2,0,10768,3673,5931,1621,3448,2876,6625,2022,5899,5754,3889,3178,3233,11428,1241,2455,3610,2532,2443,2895,3849,3338,2529,3482,3986
SKOR2,0,0,1,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRM1,0,8,25,10,16,14,9,3,1,9,19,1,20,11,3,23,11,3,2,11,4,17,20,5,18,8
PET100,0,2481.23,1356.78,1508.05,1923.55,2156.85,480.25,1030.49,355.57,821.86,1818.43,798.09,1531.17,624.61,2509.98,751.9,1444.43,1049.51,580.2,552.03,815.23,1567.84,978.23,591.49,1745.54,1054.76
ABCG4,0,18,32,67,0,2,2,10,4,7,13,5,18,3,38,32,10,23,8,13,10,3,15,12,15,11
HIST1H2BE,0,5.07,1.02,3.06,578.21,0,2.04,61.51,1386.52,0,0,3.08,8.18,2144.12,4.16,0,0,1.02,1.03,3.08,0,0,2.05,1.03,4.06,1.03
TAF10,0,7315.5,3901.28,4475.5,1552.42,3652.31,1754,4250.71,1448.61,2664.24,4898.7,1932.16,2138.82,1699.84,6296.39,1351.36,2367.87,2901.67,2020.05,1682.14,2680.58,2987.04,2768.2,2115.94,3812.79,2668.84
AL354993.1,0,37.59,148.32,36.47,59.16,11.85,14.75,37.46,13.02,14.83,10.17,5.06,63.07,7.61,5.77,0.05,12.45,5.35,37.58,18.74,20.77,5.11,15.48,12.77,14.46,22.54
LAMTOR1,0,12242,8387,10130,2045,9256,3460,6003,1406,5255,13170,3266,6294,2045,6379,4177,8459,8108,5213,4948,6721,12203,7483,4683,12272,7490
CRNN,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,22,0,0,0
KRTAP12-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC144A,0,292.25,10.46,89.67,1512.45,77.92,112.42,148.03,260.67,105.92,28.21,47,170.97,397.68,15.52,9.07,0,74.02,52.52,71.95,122.02,18.33,138.6,139.77,24.79,65.44
PREP,0,4244,2330,3930,1208,1961,1087,2181,612,2408,2832,633,1587,1316,5293,728,1516,2830.41,1901,1867,2683,2370,3225,1451,2411,2870
SUV420H2,0,976.48,168.71,639.97,47,316.11,291.28,256.21,91.27,247.35,251.55,219.78,174.33,194.4,380.64,81.24,122.86,401.08,223.9,275.09,267.22,404.23,421.5,251.11,360.97,401.9
TMEM252,0,4,33,15,4,4,4,3,3,0,20,3,0,2,1,3,8,15,15,14,19,19,38,8,5,57
MAP4K3,1,3851,2727,3209,2441,2288,781,2947,1298,3040,3149,3903,1439,2608,3979,879,1702,2020,1316,1669,1348,1921,2599,876,1547,2526
FFAR4,0,88,89,88,47,255,105,43,11,90,200,30,122,46,33,9,355,706,254,751,975,1474,1401,767,2106,1035
INTS10,0,5251,2830,4900,3843,3563,1432,2099,851,1798,6600,2282,3151,1510,3021,1663,2592,2603,1747,1971,2507,3080,3406,1818,3895,2947
RXFP3,0,5,4,1,8,0,0,10,8,1,1,0,5,2,0,0,1,3,2,2,1,0,1,1,0,3
KCTD3,0,3007,2950,3018,4519,1202,579,8093,3790,4805,3306,1147,3607,3983,10439,780,1728,2702,2602,2181,1657,1896,5160,1071,1859,4373.72
SHB,0,3106.96,1600.1,2717.36,270,746.28,496,5975.13,1791.99,2068.9,1227,948,930,970,1635.36,490.33,988.43,2318.79,1848.33,1409,2936,1545,2139,1155,1533.38,2718
CCDC138,0,429,139,208,318,261,139,484,247,330,261,334,166,327,379,63,73,122,66,98,47,144,251,137,252,280
KIR3DL1,0,6.51,2,50,0,4,3.11,10.41,0,2,1,0,0,0,3.66,7.45,27.27,13.7,33,12,45.08,17.55,61.89,5,62,17
CTNNAL1,1,1643,2370,5189,1444,1508,792,4072,1699,2591,2843,3529,1106,2222,10522,1623,5656,2989.03,4386,4526,3268,3343,7151,2800,3553,12576
GTF2H1,0,5069,2270,3308,3513,2516,1376,2402,999,2126,3993,776,2118,1916,4775,1120,1466,1467,1266,1508,1939,1914,2297,1388,2160,2531
