Gene_name,TCGA-38-4625-01A-01R-1206-07,TCGA-44-3396-01A-01R-1206-07,TCGA-38-4627-01A-01R-1206-07,TCGA-38-4626-01A-01R-1206-07,TCGA-44-2665-01A-01R-A278-07,TCGA-44-2661-01A-01R-1107-07,TCGA-44-2657-01A-01R-1107-07,TCGA-44-2668-01A-01R-0946-07,TCGA-44-2668-01A-01R-A278-07,TCGA-44-2662-01A-01R-0946-07,TCGA-44-2655-01A-01R-0946-07,TCGA-38-4632-01A-01R-1755-07,TCGA-44-2665-01A-01R-0946-07,TCGA-44-2662-01A-01R-A278-07,TCGA-38-4625-01A-01R-1206-07.1,TCGA-38-4632-11A-01R-1755-07,TCGA-38-4627-11A-01R-1758-07,TCGA-44-2665-11A-01R-1758-07,TCGA-44-2662-11A-01R-1758-07,TCGA-44-2661-11A-01R-1758-07,TCGA-44-2668-11A-01R-1758-07,TCGA-38-4625-11A-01R-1758-07,TCGA-44-3396-11A-01R-1758-07,TCGA-44-2657-11A-01R-1758-07,TCGA-38-4626-11A-01R-1758-07,TCGA-44-2655-11A-01R-1758-07
MAMDC2,0,144.6,1061.93,2506.81,588.5,1072.7,1051,59,34,17,1072.9,69.4,436.73,15,303.93,1008.94,4293.87,4895.79,4519.83,5612.93,1614.93,4894.79,6209.85,1418.99,2137.88,6853.8
CH25H,0,723,514,3065,215,849,583,579,175,265,1987,683,505,173,7860,314,543,953,2284,437,6413,732,1462,546,2886,1212
ALKBH7,0,2816,2599,2191,292,1895,964,1176,393,648,1422,2422,1437,574,3998,1152,2828,2501,1440,1436,1532,4363,2029,1594,3107,2464
JTB,0,10432.97,10864,11215,10688.99,10405,4657,10064,3260,7793,19752,7852,12178,5569,14475,3308,7174,6568,4406,4228,5507,8692,5947,4423,10363,6793
SLC25A15,0,973,152,403,346,260,168,460,229,170,483,218,208,194,530,76,130,241,130,133,135,115,198,136,123,222
ANKRD61,0,23,5,16,39,3,3,7,11,22,12,6,8,33,8,1,1,4,4,9,16,3,11,4,5,5
SLC18A1,0,21,1,1,2,16,8,5,1,1,14,1,2,2,0,1,3,2,10,8,2,6,11,4,0,3
NEK2,0,882,256,367,563,167,207,3970,1494,2067.97,359,1169,476,1521,4150.99,44,58,39,8,46,49,39,61,146,102,57
OR5D13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWAP70,2,9674,5710,10976,3811,3618,2747,6025,2356,3691,12997,1613,4624,2656,5435,2469,3341,7791,5712,5553,8213,5466,10927,5417,5625,6968
PI15,0,529,888,3482,878,138,75,1921,1053,204,256,228,378,268,1142,16,163,581,40,258,177,22,285,128,31,227
NPHS1,0,3,3,5,12,9,34,47,25,9,12,108,36,5,3,7,3,4,0,1,17,9,14,185,2,2
FAM221B,0,15,5,13,0,15,15,13,9,14,15,2,2,17,2,4,0,5,10,4,6,9,4,12,5,10
BATF,0,1408,1664,957,376,704,513,1179,359,702,1209,470,767,447,478,324,365,267,482,258,698,218,653,576,647,149
MFSD9,0,1646,952,1317,263,448,512,1429,437,948,1253,529,328,621,499,180,239,560,342,440,540,455,632,356,474,743
ZNF131,2,2116,1427,2139,2013,1055,961,2617,1273,1935,1431,819,1446,1550,2285,497,782,1082,803,695,936,1073,1452,697,1236,1179
ESF1,0,1228,819,1403,415,440,451,827,342,1020,1169,236,545,596,2780,319,377,757,501,603,745,764,1014,411,635,1047
BAD,0,6688.26,3661,3650.58,527.33,2658.37,1483.34,2848.6,881.99,2558.15,3809.56,1857.67,1574.25,1810.38,2648.84,1218.66,3503.76,3317.32,2660.89,2314.69,2349.96,3775.23,2840.6,1945.77,3244.62,3859.47
SLC2A5,0,1569,346,579,414,409,536,413,140,3906,172,236,504,2856,316,547,50,51,31,78,79,62,89,401,193,41
GYLTL1B,0,5016,131,1674,54,684,987,146,41,293,3932,628,291,90,972,156,184,427,328,357,294,399,358,403,470,534
ABHD10,0,1761,1710,1996,1985,1608,977,2148,857,1928,1799,1157,1333,1560,3286,629,1286,1031,572,829,1094,1918,1415,1005,1969,1554
BST1,0,898,1375,1813,326,833,237,569,212,714,780,204,383,473,426,614,1079,1133,702,831,1056,1405,1178,437,1559,828
MEOX1,0,80,202,30,62,185,162,31,11,14,261,19,69,4,31,28,78,304,109,245,158,18,165,119,99,366
C19orf48,0,2895,1487,2129,462.01,1478,1126,2070,590,1265,1121,1424,1134,727.01,3828,587,934,1285,597,823,1040,1158,1010,1273,1111,1119
CLLU1,0,3.2,2,0,5,2.02,2,3.09,0,14.92,3,0,0,12.91,0,0,0,1,0,1,0,0,0,0,0,1
HAPLN2,0,5,1,4,0,0,0,0,0,0,3,0,0,0,5,1,5,5,6,0,4,34,18,3,3,12
PDCL,0,1773,1799,2238,2440,1061,687,2190,1066,959,2419,591,1509,967,1450,819,1655,1728.78,1010,1236,1574,2176,2375,879,1839,2493.36
RGS6,0,6,67,30,167,2,15,2,3,20,56,0,121,17,2,8,77,72,117,99,82,53,118,66,22,253
RIMKLB,0,666.86,1132.81,2925.59,1084.24,751,375.95,1480.77,736.68,644.86,1668.56,74,889.88,697.88,1120.74,346.98,992.88,1802.8,1414.97,1014.85,1092.74,1082.9,2416.4,794.81,2167.84,2005.84
MT1B,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
AC026369.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAREML,0,355,720,372,92,426,215,422,66,309,120,166,546,68,345,25,91,304,183,334,104,92,210,151,67,217
UGT2B11,0,0,0,6,0,3.08,3,0,0,3,1.32,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
EMC8,0,2823,1850,1941,1362,1103,869,3092,1058,1871,2229,1019,1972,1133,2529,578,1064,1333,669,777,1353,1305,1282,764,1408,1216
CBX4,5,3447,1249,2307,550,946,1383,3306,1128,1335,1996,902,1284,954,1979,279,566,1214,933,1055,905,1190,1708,1308,1149,1862
SURF4,0,33577,28972,42138,18797,11430,8982,26032,9609,21840,41938,15496,23991,14985,23763,8409,14163,17691,13084,11900,19655,16264,17555,11175,15341,16497
AL138815.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C17orf64,0,20,1,10,2,4,0,3,1,2,8,10,5,3,0,5,3,10,7,6,6,11,16,10,12,9
FAM19A3,0,3,11,2,2,1,0,13,3,7,4,50,6,1,13,1,4,3,0,3,1,0,1,1,1,0
COLCA2,0,193,115,158,30,131.16,119,21,7,137.7,156.07,7,156,51,14,31,32,71,72,88,44.12,167.26,120,108,151,206
VPS52,0,4433.61,2753.98,4785.8,823.98,2327.98,1973.46,2856.19,670.22,3283.35,5996.79,914.6,2065.2,1244.34,4960.3,1080.11,1617.24,3220.7,2533.73,2446.69,2429.09,3079.45,3774.26,2004.9,2363.47,3677.43
PPAPDC1A,0,319,811,27,471,41,14,537,144,166,7,78,768,71,10,4,4,7,5,14,8,15,10,3,4,8
PSMA4,0,10796,5621,9647,4640,13088,2486,6988,2068,5800,15656,3848,5297,3380,9440,4070,6446,4380,3031,3232,4435,6336,4968,3113,7322,4835
PCGF2,0,5784.13,1877.72,3084.49,208.56,1411.76,747.15,2578.98,143.47,1862.31,2810.87,1158.29,3815.55,134.62,2302.43,588.25,1156.34,3852.79,1707.83,2051.29,1509.36,1878.43,2370.6,1460.28,1425.32,3798.78
RP11-574K11.31,0,243.76,56.59,300.37,103.75,250.48,149.73,150.04,65.82,159.41,164.07,36.47,107.57,148.19,99.93,19.55,25.67,98.49,86.37,65.3,115.77,109.86,160.06,78.41,154.66,138.9
REXO1,2,3542.55,633.84,2990.4,228.59,916.44,921.32,2765.61,714.8,2175.83,940.39,597.97,1244.56,949.77,4201.55,378.69,617.95,2218.82,1649.49,1363.66,2142.93,1355.32,2889.64,1281.6,1677.8,2003.74
COMMD6,1,5349,6721,3936,2836,5000,1585,2305,645,3188,9744,1623,3564,1757,3571,2150,4251,3144,2090,2299,1894,5536,2910,2246,4801,4310
ERAL1,0,6756,2638,3744,472,2083,1247,3508,721,3963,4185,1621,2099,1250,6613,777,1460,2296,1562,1638,1954,2196,2212,1608,2179,2466
PHACTR3,0,2861,1307,332,29,545,224,1079,267,270,1959,19,32,149,25,101,419,752,843,220,363,534,787,143,322,626
